18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/businesses/<int:business_id>/prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current/prompt
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/business/current/prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/<int:business_id>/prompt/history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current/prompt/history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/statuses
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/statuses
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/statuses/<int:status_id>
18:10:48 web.1     |   {'OPTIONS', 'DELETE'} /api/statuses/<int:status_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/statuses/reorder
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/statuses/initialize/<int:business_id>
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/csrf
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/login
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/forgot
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/reset
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/logout
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/me
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/current
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/whatsapp
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/businesses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/revenue
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/<int:business_id>/overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/whatsapp
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/tenants
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/leads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/leads/stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/phone-numbers
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/prompts
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/support/profile
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'PUT', 'GET'} /api/admin/support/prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'PUT', 'GET'} /api/admin/support/phones
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/threads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/threads/<thread_id>/messages
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/customers
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/active
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/contracts
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contracts
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/payments/create
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/paypal/return/success
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/paypal/return/cancel
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/tranzila/return/success
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/tranzila/return/fail
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/invoices/<invoice_number>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contracts/sign
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/deals
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/deals
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/business/<int:business_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/business
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/business/<int:business_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/business/<int:business_id>/change-password
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/user/<int:user_id>
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/user/<int:user_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user/<int:user_id>/change-password
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user/<int:user_id>/toggle-status
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/businesses/<int:business_id>/impersonate
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/impersonate/exit
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/business/current/settings
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /webhook/incoming_call_preview
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/incoming_call
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/stream_ended
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/handle_recording
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/stream_status
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/call_status
18:10:48 web.1     |   {'HEAD', 'POST', 'OPTIONS', 'GET'} /webhook/test
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /webhook/test_media_streams_1756667590
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/appointments
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/calendar/appointments
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/appointments/<int:appointment_id>
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/calendar/appointments/<int:appointment_id>
18:10:48 web.1     |   {'OPTIONS', 'DELETE'} /api/calendar/appointments/<int:appointment_id>
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/status
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/reminders
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/activities
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/reminders
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id>/move
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/reminders/<int:reminder_id>
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id>/reminders/<int:reminder_id>
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/reminders/due
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/bulk
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/message/whatsapp
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/<call_sid>/details
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/<call_sid>/download
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/calls/cleanup
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/stats
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/receipts
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/contracts
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/invoice/<invoice_id>/view
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/invoice/<invoice_id>/download
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/contract/<contract_id>/view
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/contract/<contract_id>/download
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/whatsapp/status
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/whatsapp/qr
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/whatsapp/start
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/whatsapp/reset
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/whatsapp/disconnect
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/whatsapp/contacts
