prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.done
prosaas-backend  | 🤖 [REALTIME] AI said: מצטער, אנחנו כרגע לא תומכים בעיר קריית שמונה. תודה ויום טוב.
prosaas-backend  | ⚠️ [LOOP GUARD] Triggered by consecutive_responses!
prosaas-backend  | 🛑 [LOOP GUARD] BLOCKING further responses until user speaks!
prosaas-backend  | 🛑 [LOOP GUARD] Cleared TX queue
prosaas-backend  | 🛑 [LOOP GUARD] Sent clear to Twilio
prosaas-backend  | 💰 [COST] AI utterance: 1.54s (69 chunks)
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'מצטער, אנחנו כרגע לא תומכים בע...'
prosaas-backend  | [POLITE CLOSING] Detected: 'יום טוב'
prosaas-backend  | ✅ [HANGUP BUILD 176] AI said goodbye with auto_end_on_goodbye=True + user interaction - disconnecting
prosaas-backend  | 📞 [STATE] Transitioning ACTIVE → CLOSING (reason: ai_goodbye_auto_end)
prosaas-backend  | 📞 [BUILD 163] Pending hangup set - will disconnect after audio finishes playing
prosaas-backend  | 🔊 [REALTIME] response.content_part.done
prosaas-backend  | 🔊 [REALTIME] response.output_item.done
prosaas-backend  | 🔥 [BUILD 171] AI finished speaking - cooldown started (800ms)
prosaas-backend  | 🔊 [REALTIME] response.done: status=completed, output_count=1, details=None
prosaas-backend  |    output[0]: type=message, content_types=['audio']
prosaas-backend  | [REALTIME] event: rate_limits.updated
prosaas-backend  | 🔇 [SERVER_EVENT] Sent SILENTLY to AI: [SERVER] זיהיתי שאתה חוזר על עצמך. אמור: 'לא שמעתי טוב, אפשר לחזור?' ותמתין בשקט.
prosaas-backend  | 🛑 [LOOP GUARD] Blocking response.create (engaged=True, consecutive=5)
prosaas-backend  | ⏳ [POLITE HANGUP] Starting wait for audio to finish...
prosaas-backend  | ✅ [POLITE HANGUP] OpenAI queue empty after 0ms
prosaas-backend  | ⏳ [POLITE HANGUP] TX queue still has 1 frames...
prosaas-backend  | 🧹 TX_CLEAR: SUCCESS
