end  | 🎤 END OF UTTERANCE: 3.8s audio, conversation #1
prosaas-backend  | 🧠 STATE -> PROCESSING | len=60480 | silence_ms=2259
prosaas-backend  | ⏭️ [REALTIME] Skipping Google STT/TTS - using Realtime API only
prosaas-backend  | ✅ Processing complete for conversation #1
prosaas-backend  | [PIPELINE STATUS] sent=549 blocked=0 | active_response=None... | ai_speaking=False | barge_in=False
prosaas-backend  | [SILENCE GATE] ✅ TRUSTED (OpenAI heard 'בית שאן....' despite low RMS=8)
prosaas-backend  | ✅ [SIMPLE_MODE] Bypassing all filters - accepting: 'בית שאן.'
prosaas-backend  | 📝 [SEGMENT MERGE] FLUSH - long pause (6643ms)
prosaas-backend  | [STT_FINAL] 'בית שאן.' (from raw: 'בית שאן....')
prosaas-backend  | 💰 [COST] User utterance: 6.63s (568 chunks total)
prosaas-backend  | 👤 [REALTIME] User said: בית שאן.
prosaas-backend  | 🔒 [BUILD 336] Service already locked: 'פריצת דלתות'
prosaas-backend  | ✅ [LEAD STATE] Updated: city=ית שאן
prosaas-backend  | 📋 [LEAD STATE] Current state: {'service_type': 'פריצת דלתות', 'city': 'ית שאן'}
prosaas-backend  | 🔒 [BUILD 326] CITY LOCKED from STT: 'ית שאן' (raw: 'בית שאן.')
prosaas-backend  | 🔍 [DEBUG] Calling NLP after user transcript: 'בית שאן....'
prosaas-backend  | 🔍 [DEBUG] _check_appointment_confirmation called with transcript: 'בית שאן....'
prosaas-backend  | 🔍 [DEBUG] Conversation history length: 5
prosaas-backend  | 🔍 [DEBUG] User messages for hash: ['אני צריך פריצת דלתות.', 'בית שאן.']
prosaas-backend  | 🔍 [DEBUG] Current conversation hash: 561c88c8...
prosaas-backend  | 🔍 [DEBUG] Hash changed (a0f04f67 → 561c88c8) - processing
prosaas-backend  | 🔍 [NLP] ✅ WILL PROCESS new conversation state (hash=561c88c8...)
prosaas-backend  | 🔍 [DEBUG] CRM context exists: False
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'בית שאן....'
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ✅ [SMART HANGUP] All required fields collected: city=ית שאן, service_type=פריצת דלתות
prosaas-backend  | ⏳ [BUILD 172] Lead fields collected - waiting for customer confirmation
prosaas-backend  | 📋 [BUILD 336] Building confirmation from STT state: {'service_type': 'פריצת דלתות', 'city': 'ית שאן'}
prosaas-backend  | 🎯 [BUILD 336] SERVER CONFIRMATION: 'רק מוודא — אתה צריך פריצת דלתות בית שאן, נכון?'
prosaas-backend  | 🔍 [NLP] ▶️ Analyzing conversation for appointment intent...🔒 [BUILD 336] Values from STT: service='פריצת דלתות', city='ית שאן', name=''
